generation,basepokemon,vanillatarget,targetpokemon,percent
1,Cubone,Marowak,Onix,20.3419658
1,Cubone,Marowak,Rhyhorn,23.84561544
1,Cubone,Marowak,Sandshrew,5.484451555
1,Cubone,Marowak,Sandslash,3.263673633
1,Diglett,Dugtrio,Golem,1.411858814
1,Diglett,Dugtrio,Graveler,26.87731227
1,Diglett,Dugtrio,Marowak,26.20737926
1,Diglett,Dugtrio,Nidoking,0.276972303
1,Diglett,Dugtrio,Nidoqueen,0.254974503
1,Diglett,Dugtrio,Onix,24.39156084
1,Diglett,Dugtrio,Rhyhorn,10.3909609
1,Diglett,Dugtrio,Sandslash,10.1889811
1,Doduo,Dodrio,Aerodactyl,9.069093091
1,Doduo,Dodrio,Chansey,10.4879512
1,Doduo,Dodrio,Charizard,6.494350565
1,Doduo,Dodrio,Clefable,9.00309969
1,Doduo,Dodrio,Fearow,8.327167283
1,Doduo,Dodrio,Golbat,4.893510649
1,Doduo,Dodrio,Kangaskhan,9.575042496
1,Doduo,Dodrio,Persian,7.704229577
1,Doduo,Dodrio,Pidgeot,9.551044896
1,Doduo,Dodrio,Raticate,0.0309969
1,Doduo,Dodrio,Scyther,11.91980802
1,Doduo,Dodrio,Snorlax,12.88771123
1,Doduo,Dodrio,Tauros,0.0309969
1,Doduo,Dodrio,Wigglytuff,0.0249975
1,Dragonair,Dragonite,Dratini,100
1,Dratini,Dragonair,Dragonite,100
1,Drowzee,Hypno,Alakazam,26.20037996
1,Drowzee,Hypno,Exeggutor,15.54544546
1,Drowzee,Hypno,Jynx,8.685131487
1,Drowzee,Hypno,Kadabra,13.49365063
1,Drowzee,Hypno,Mr. Mime,8.717128287
1,Drowzee,Hypno,Slowbro,14.65053495
1,Drowzee,Hypno,Starmie,12.70772923
1,Eevee,Flareon,Arcanine,19.8930107
1,Eevee,Flareon,Charizard,15.95540446
1,Eevee,Flareon,Magmar,18.93210679
1,Eevee,Flareon,Ninetales,18.87911209
1,Eevee,Flareon,Ponyta,6.99830017
1,Eevee,Flareon,Rapidash,19.34206579
1,Eevee,Jolteon,Electabuzz,21.45885411
1,Eevee,Jolteon,Electrode,26.31636836
1,Eevee,Jolteon,Magneton,26.33636636
1,Eevee,Jolteon,Raichu,25.88841116
1,Eevee,Vaporeon,Blastoise,8.188181182
1,Eevee,Vaporeon,Cloyster,6.127387261
1,Eevee,Vaporeon,Dewgong,8.163183682
1,Eevee,Vaporeon,Golduck,7.99320068
1,Eevee,Vaporeon,Gyarados,6.192380762
1,Eevee,Vaporeon,Kabutops,7.288271173
1,Eevee,Vaporeon,Kingler,8.437156284
1,Eevee,Vaporeon,Lapras,8.358164184
1,Eevee,Vaporeon,Omastar,7.057294271
1,Eevee,Vaporeon,Poliwrath,5.646435356
1,Eevee,Vaporeon,Seadra,8.144185581
1,Eevee,Vaporeon,Seaking,2.404759524
1,Eevee,Vaporeon,Slowbro,6.190380962
1,Eevee,Vaporeon,Starmie,5.04549545
1,Eevee,Vaporeon,Tentacruel,4.763523648
1,Ekans,Arbok,Beedrill,1.141885811
1,Ekans,Arbok,Gengar,0.834916508
1,Ekans,Arbok,Gloom,2.937706229
1,Ekans,Arbok,Golbat,10.4549545
1,Ekans,Arbok,Haunter,16.04539546
1,Ekans,Arbok,Ivysaur,11.76782322
1,Ekans,Arbok,Koffing,1.804819518
1,Ekans,Arbok,Muk,2.441755824
1,Ekans,Arbok,Nidoking,1.513848615
1,Ekans,Arbok,Nidoqueen,1.489851015
1,Ekans,Arbok,Nidorina,5.489451055
1,Ekans,Arbok,Nidorino,5.333466653
1,Ekans,Arbok,Venomoth,11.33186681
1,Ekans,Arbok,Venusaur,0.573942606
1,Ekans,Arbok,Victreebel,0.572942706
1,Ekans,Arbok,Vileplume,11.56684332
1,Ekans,Arbok,Weepinbell,13.87661234
1,Ekans,Arbok,Weezing,0.821917808
1,Exeggcute,Exeggutor,Alakazam,13.25467453
1,Exeggcute,Exeggutor,Hypno,24.60253975
1,Exeggcute,Exeggutor,Slowbro,3.620637936
1,Exeggcute,Exeggutor,Starmie,10.83791621
1,Exeggcute,Exeggutor,Tangela,11.54184582
1,Exeggcute,Exeggutor,Venusaur,15.86041396
1,Exeggcute,Exeggutor,Victreebel,15.90140986
1,Exeggcute,Exeggutor,Vileplume,4.380561944
1,Gastly,Haunter,Arbok,17.52624738
1,Gastly,Haunter,Beedrill,3.790620938
1,Gastly,Haunter,Gloom,14.28557144
1,Gastly,Haunter,Golbat,1.782821718
1,Gastly,Haunter,Ivysaur,13.11768823
1,Gastly,Haunter,Koffing,1.888811119
1,Gastly,Haunter,Muk,2.719728027
1,Gastly,Haunter,Nidoking,0.275972403
1,Gastly,Haunter,Nidoqueen,0.284971503
1,Gastly,Haunter,Nidorina,5.837416258
1,Gastly,Haunter,Nidorino,5.942405759
1,Gastly,Haunter,Tentacool,2.595740426
1,Gastly,Haunter,Venomoth,12.66173383
1,Gastly,Haunter,Vileplume,2.091790821
1,Gastly,Haunter,Weepinbell,15.19848015
1,Geodude,Graveler,Dugtrio,23.64663534
1,Geodude,Graveler,Kabuto,3.763623638
1,Geodude,Graveler,Marowak,23.08069193
1,Geodude,Graveler,Nidoking,0.060993901
1,Geodude,Graveler,Nidoqueen,0.058994101
1,Geodude,Graveler,Omanyte,3.694630537
1,Geodude,Graveler,Onix,20.1819818
1,Geodude,Graveler,Rhyhorn,24.08259174
1,Geodude,Graveler,Sandshrew,0.911908809
1,Geodude,Graveler,Sandslash,0.517948205
1,Gloom,Vileplume,Arbok,10.72592741
1,Gloom,Vileplume,Exeggutor,1.740825917
1,Gloom,Vileplume,Gengar,9.192080792
1,Gloom,Vileplume,Golbat,6.598340166
1,Gloom,Vileplume,Haunter,1.571842816
1,Gloom,Vileplume,Ivysaur,0.623937606
1,Gloom,Vileplume,Muk,8.216178382
1,Gloom,Vileplume,Nidoking,6.02539746
1,Gloom,Vileplume,Nidoqueen,6.00639936
1,Gloom,Vileplume,Parasect,1.733826617
1,Gloom,Vileplume,Tangela,14.25757424
1,Gloom,Vileplume,Tentacruel,0.234976502
1,Gloom,Vileplume,Venomoth,7.124287571
1,Gloom,Vileplume,Venusaur,7.852214779
1,Gloom,Vileplume,Victreebel,7.751224878
1,Gloom,Vileplume,Weepinbell,1.135886411
1,Gloom,Vileplume,Weezing,9.209079092
1,Goldeen,Seaking,Blastoise,3.649635036
1,Goldeen,Seaking,Dewgong,13.67763224
1,Goldeen,Seaking,Golduck,13.67163284
1,Goldeen,Seaking,Kabutops,2.941705829
1,Goldeen,Seaking,Kingler,3.487651235
1,Goldeen,Seaking,Lapras,1.156884312
1,Goldeen,Seaking,Omastar,2.576742326
1,Goldeen,Seaking,Poliwhirl,11.52284772
1,Goldeen,Seaking,Poliwrath,10.39996
1,Goldeen,Seaking,Seadra,13.41765823
1,Goldeen,Seaking,Slowbro,10.98090191
1,Goldeen,Seaking,Starmie,1.649835016
1,Goldeen,Seaking,Tentacruel,1.436856314
1,Goldeen,Seaking,Vaporeon,3.904609539
1,Goldeen,Seaking,Wartortle,5.525447455
1,Graveler,Golem,Aerodactyl,17.34726527
1,Graveler,Golem,Dugtrio,3.456654335
1,Graveler,Golem,Kabutops,9.488051195
1,Graveler,Golem,Marowak,3.513648635
1,Graveler,Golem,Nidoking,8.256174383
1,Graveler,Golem,Nidoqueen,8.495150485
1,Graveler,Golem,Omastar,9.02309769
1,Graveler,Golem,Onix,2.662733727
1,Graveler,Golem,Rhydon,17.69123088
1,Graveler,Golem,Sandslash,20.0659934
1,Grimer,Muk,Arbok,3.466653335
1,Grimer,Muk,Gengar,11.62083792
1,Grimer,Muk,Gloom,1.662833717
1,Grimer,Muk,Golbat,7.884211579
1,Grimer,Muk,Haunter,3.472652735
1,Grimer,Muk,Ivysaur,1.464853515
1,Grimer,Muk,Nidoking,7.274272573
1,Grimer,Muk,Nidoqueen,7.293270673
1,Grimer,Muk,Tentacruel,5.601439856
1,Grimer,Muk,Venomoth,8.861113889
1,Grimer,Muk,Venusaur,9.546045395
1,Grimer,Muk,Victreebel,9.310068993
1,Grimer,Muk,Vileplume,8.586141386
1,Grimer,Muk,Weepinbell,2.621737826
1,Grimer,Muk,Weezing,11.33386661
1,Growlithe,Arcanine,Charizard,19.6510349
1,Growlithe,Arcanine,Flareon,23.45065493
1,Growlithe,Arcanine,Magmar,9.461053895
1,Growlithe,Arcanine,Ninetales,23.64263574
1,Growlithe,Arcanine,Rapidash,23.79462054
1,Haunter,Gengar,Arbok,4.431556844
1,Haunter,Gengar,Golbat,8.864113589
1,Haunter,Gengar,Muk,11.62583742
1,Haunter,Gengar,Nidoking,8.600139986
1,Haunter,Gengar,Nidoqueen,8.551144886
1,Haunter,Gengar,Tentacruel,6.252374763
1,Haunter,Gengar,Venomoth,2.750724928
1,Haunter,Gengar,Venusaur,11.15888411
1,Haunter,Gengar,Victreebel,11.12988701
1,Haunter,Gengar,Vileplume,9.836016398
1,Haunter,Gengar,Weepinbell,3.341665833
1,Haunter,Gengar,Weezing,13.45765423
1,Horsea,Seadra,Blastoise,9.191080892
1,Horsea,Seadra,Dewgong,8.667133287
1,Horsea,Seadra,Golduck,8.704129587
1,Horsea,Seadra,Kabutops,7.98620138
1,Horsea,Seadra,Kingler,9.132086791
1,Horsea,Seadra,Lapras,1.799820018
1,Horsea,Seadra,Omastar,7.515248475
1,Horsea,Seadra,Poliwhirl,5.473452655
1,Horsea,Seadra,Poliwrath,6.171382862
1,Horsea,Seadra,Seaking,11.74882512
1,Horsea,Seadra,Slowbro,6.691330867
1,Horsea,Seadra,Starmie,0.619938006
1,Horsea,Seadra,Tentacruel,0.506949305
1,Horsea,Seadra,Vaporeon,9.720027997
1,Horsea,Seadra,Wartortle,6.072392761
1,Ivysaur,Venusaur,Arbok,1.279872013
1,Ivysaur,Venusaur,Exeggutor,14.20957904
1,Ivysaur,Venusaur,Gengar,9.520047995
1,Ivysaur,Venusaur,Golbat,6.317368263
1,Ivysaur,Venusaur,Haunter,1.324867513
1,Ivysaur,Venusaur,Muk,8.245175482
1,Ivysaur,Venusaur,Nidoking,6.067393261
1,Ivysaur,Venusaur,Nidoqueen,6.104389561
1,Ivysaur,Venusaur,Parasect,1.428857114
1,Ivysaur,Venusaur,Tangela,14.63853615
1,Ivysaur,Venusaur,Tentacruel,4.621537846
1,Ivysaur,Venusaur,Venomoth,0.876912309
1,Ivysaur,Venusaur,Victreebel,7.924207579
1,Ivysaur,Venusaur,Vileplume,7.150284972
1,Ivysaur,Venusaur,Weepinbell,0.937906209
1,Ivysaur,Venusaur,Weezing,9.353064694
1,Jigglypuff,Wigglytuff,Chansey,0.0209979
1,Jigglypuff,Wigglytuff,Clefable,20.4789521
1,Jigglypuff,Wigglytuff,Dodrio,3.161683832
1,Jigglypuff,Wigglytuff,Farfetch'd,0.0179982
1,Jigglypuff,Wigglytuff,Fearow,19.22807719
1,Jigglypuff,Wigglytuff,Kangaskhan,0.0149985
1,Jigglypuff,Wigglytuff,Lickitung,3.843615638
1,Jigglypuff,Wigglytuff,Persian,17.87521248
1,Jigglypuff,Wigglytuff,Pidgeot,3.312668733
1,Jigglypuff,Wigglytuff,Pidgeotto,5.427457254
1,Jigglypuff,Wigglytuff,Porygon,3.920607939
1,Jigglypuff,Wigglytuff,Raticate,22.69773023
1,Kabuto,Kabutops,Aerodactyl,10.57894211
1,Kabuto,Kabutops,Blastoise,6.185381462
1,Kabuto,Kabutops,Cloyster,1.652834717
1,Kabuto,Kabutops,Dewgong,5.729427057
1,Kabuto,Kabutops,Golduck,5.895410459
1,Kabuto,Kabutops,Golem,10.80091991
1,Kabuto,Kabutops,Graveler,0.523947605
1,Kabuto,Kabutops,Gyarados,1.713828617
1,Kabuto,Kabutops,Kingler,5.97040296
1,Kabuto,Kabutops,Lapras,6.103389661
1,Kabuto,Kabutops,Omastar,5.085491451
1,Kabuto,Kabutops,Poliwrath,4.131586841
1,Kabuto,Kabutops,Rhydon,10.93790621
1,Kabuto,Kabutops,Seadra,6.01939806
1,Kabuto,Kabutops,Seaking,0.637936206
1,Kabuto,Kabutops,Slowbro,4.466553345
1,Kabuto,Kabutops,Starmie,3.703629637
1,Kabuto,Kabutops,Tentacruel,3.504649535
1,Kabuto,Kabutops,Vaporeon,6.358364164
1,Kadabra,Alakazam,Exeggutor,18.81711829
1,Kadabra,Alakazam,Hypno,26.61533847
1,Kadabra,Alakazam,Jynx,13.32266773
1,Kadabra,Alakazam,Mr. Mime,13.19268073
1,Kadabra,Alakazam,Slowbro,15.12648735
1,Kadabra,Alakazam,Starmie,12.92570743
1,Kakuna,Beedrill,Bellsprout,0.0339966
1,Kakuna,Beedrill,Butterfree,13.10668933
1,Kakuna,Beedrill,Gastly,15.26847315
1,Kakuna,Beedrill,Gloom,7.129287071
1,Kakuna,Beedrill,Grimer,15.54844516
1,Kakuna,Beedrill,Haunter,0.0129987
1,Kakuna,Beedrill,Ivysaur,6.568343166
1,Kakuna,Beedrill,Koffing,9.757024298
1,Kakuna,Beedrill,Nidorina,10.4589541
1,Kakuna,Beedrill,Nidorino,10.3769623
1,Kakuna,Beedrill,Oddish,0.0009999
1,Kakuna,Beedrill,Parasect,0.009999
1,Kakuna,Beedrill,Tentacool,11.71982802
1,Kakuna,Beedrill,Weepinbell,0.0079992
1,Koffing,Weezing,Arbok,4.766523348
1,Koffing,Weezing,Gengar,12.65473453
1,Koffing,Weezing,Golbat,8.694130587
1,Koffing,Weezing,Haunter,3.475652435
1,Koffing,Weezing,Muk,11.32386761
1,Koffing,Weezing,Nidoking,8.00519948
1,Koffing,Weezing,Nidoqueen,8.182181782
1,Koffing,Weezing,Tentacruel,6.273372663
1,Koffing,Weezing,Venomoth,2.475752425
1,Koffing,Weezing,Venusaur,10.91890811
1,Koffing,Weezing,Victreebel,10.92390761
1,Koffing,Weezing,Vileplume,9.728027197
1,Koffing,Weezing,Weepinbell,2.577742226
1,Krabby,Kingler,Blastoise,7.564243576
1,Krabby,Kingler,Cloyster,5.506449355
1,Krabby,Kingler,Dewgong,7.491250875
1,Krabby,Kingler,Golduck,7.461253875
1,Krabby,Kingler,Gyarados,5.525447455
1,Krabby,Kingler,Kabutops,6.658334167
1,Krabby,Kingler,Lapras,7.900209979
1,Krabby,Kingler,Omastar,6.284371563
1,Krabby,Kingler,Poliwrath,5.240475952
1,Krabby,Kingler,Seadra,7.478252175
1,Krabby,Kingler,Seaking,9.775022498
1,Krabby,Kingler,Slowbro,5.660433957
1,Krabby,Kingler,Starmie,4.681531847
1,Krabby,Kingler,Tentacruel,4.450554945
1,Krabby,Kingler,Vaporeon,8.322167783
1,Machoke,Machamp,Hitmonchan,27.40525947
1,Machoke,Machamp,Hitmonlee,27.09529047
1,Machoke,Machamp,Poliwrath,12.41675832
1,Machoke,Machamp,Primeape,33.08269173
1,Machop,Machoke,Hitmonchan,30.009999
1,Machop,Machoke,Hitmonlee,30.1449855
1,Machop,Machoke,Poliwrath,4.663533647
1,Machop,Machoke,Primeape,35.18148185
1,Magikarp,Gyarados,Blastoise,4.925507449
1,Magikarp,Gyarados,Cloyster,28.95110489
1,Magikarp,Gyarados,Dewgong,1.471852815
1,Magikarp,Gyarados,Golduck,1.423857614
1,Magikarp,Gyarados,Kabutops,4.200579942
1,Magikarp,Gyarados,Kingler,5.00449955
1,Magikarp,Gyarados,Lapras,15.64543546
1,Magikarp,Gyarados,Omastar,3.748625137
1,Magikarp,Gyarados,Poliwrath,2.792720728
1,Magikarp,Gyarados,Seadra,1.546845315
1,Magikarp,Gyarados,Seaking,2.539746025
1,Magikarp,Gyarados,Slowbro,0.844915508
1,Magikarp,Gyarados,Starmie,10.88191181
1,Magikarp,Gyarados,Tentacruel,10.53994601
1,Magikarp,Gyarados,Vaporeon,5.482451755
1,Magnemite,Magneton,Electabuzz,21.98380162
1,Magnemite,Magneton,Electrode,25.93140686
1,Magnemite,Magneton,Jolteon,26.00739926
1,Magnemite,Magneton,Raichu,26.07739226
1,Mankey,Primeape,Hitmonchan,17.21927807
1,Mankey,Primeape,Hitmonlee,17.49925007
1,Mankey,Primeape,Machamp,28.03419658
1,Mankey,Primeape,Machoke,28.11218878
1,Mankey,Primeape,Poliwrath,9.135086491
1,Meowth,Persian,Chansey,0.550944906
1,Meowth,Persian,Clefable,13.37866213
1,Meowth,Persian,Dodrio,14.22957704
1,Meowth,Persian,Fearow,12.52474753
1,Meowth,Persian,Kangaskhan,14.64153585
1,Meowth,Persian,Lickitung,0.0129987
1,Meowth,Persian,Pidgeot,14.39656034
1,Meowth,Persian,Porygon,0.0219978
1,Meowth,Persian,Raticate,15.43845615
1,Meowth,Persian,Snorlax,0.613938606
1,Meowth,Persian,Wigglytuff,14.19058094
1,Metapod,Butterfree,Beedrill,24.52854715
1,Metapod,Butterfree,Parasect,26.69233077
1,Metapod,Butterfree,Venonat,48.77912209
1,Nidoran-F,Nidorina,Beedrill,13.12568743
1,Nidoran-F,Nidorina,Bellsprout,3.762623738
1,Nidoran-F,Nidorina,Bulbasaur,0.0069993
1,Nidoran-F,Nidorina,Gastly,3.352664734
1,Nidoran-F,Nidorina,Gloom,11.66883312
1,Nidoran-F,Nidorina,Grimer,3.320667933
1,Nidoran-F,Nidorina,Haunter,1.204879512
1,Nidoran-F,Nidorina,Ivysaur,10.96790321
1,Nidoran-F,Nidorina,Koffing,15.76242376
1,Nidoran-F,Nidorina,Nidorino,17.03629637
1,Nidoran-F,Nidorina,Oddish,0.0079992
1,Nidoran-F,Nidorina,Tentacool,18.87911209
1,Nidoran-F,Nidorina,Venonat,0.0049995
1,Nidoran-F,Nidorina,Weepinbell,0.898910109
1,Nidoran-M,Nidorino,Arbok,0.0009999
1,Nidoran-M,Nidorino,Beedrill,13.13268673
1,Nidoran-M,Nidorino,Bellsprout,3.626637336
1,Nidoran-M,Nidorino,Bulbasaur,0.0049995
1,Nidoran-M,Nidorino,Gastly,3.389661034
1,Nidoran-M,Nidorino,Gloom,11.85681432
1,Nidoran-M,Nidorino,Grimer,3.389661034
1,Nidoran-M,Nidorino,Haunter,1.291870813
1,Nidoran-M,Nidorino,Ivysaur,10.66893311
1,Nidoran-M,Nidorino,Koffing,15.64143586
1,Nidoran-M,Nidorino,Nidorina,17.21027897
1,Nidoran-M,Nidorino,Oddish,0.0109989
1,Nidoran-M,Nidorino,Tentacool,18.77812219
1,Nidoran-M,Nidorino,Venonat,0.0049995
1,Nidoran-M,Nidorino,Weepinbell,0.99190081
1,Nidorina,Nidoqueen,Arbok,3.711628837
1,Nidorina,Nidoqueen,Gengar,11.46785321
1,Nidorina,Nidoqueen,Golbat,7.707229277
1,Nidorina,Nidoqueen,Haunter,3.606639336
1,Nidorina,Nidoqueen,Muk,10.2979702
1,Nidorina,Nidoqueen,Nidoking,7.364263574
1,Nidorina,Nidoqueen,Tentacruel,5.433456654
1,Nidorina,Nidoqueen,Venomoth,8.889111089
1,Nidorina,Nidoqueen,Venusaur,9.670032997
1,Nidorina,Nidoqueen,Victreebel,9.759024098
1,Nidorina,Nidoqueen,Vileplume,8.803119688
1,Nidorina,Nidoqueen,Weepinbell,1.904809519
1,Nidorina,Nidoqueen,Weezing,11.38486151
1,Nidorino,Nidoking,Arbok,3.585641436
1,Nidorino,Nidoking,Gengar,11.59084092
1,Nidorino,Nidoking,Golbat,7.725227477
1,Nidorino,Nidoking,Haunter,3.662633737
1,Nidorino,Nidoking,Muk,10.1649835
1,Nidorino,Nidoking,Nidoqueen,7.310268973
1,Nidorino,Nidoking,Tentacruel,5.547445255
1,Nidorino,Nidoking,Venomoth,8.948105189
1,Nidorino,Nidoking,Venusaur,9.436056394
1,Nidorino,Nidoking,Victreebel,9.691030897
1,Nidorino,Nidoking,Vileplume,8.901109889
1,Nidorino,Nidoking,Weepinbell,1.95080492
1,Nidorino,Nidoking,Weezing,11.48585141
1,Oddish,Gloom,Arbok,0.595940406
1,Oddish,Gloom,Beedrill,10.65193481
1,Oddish,Gloom,Bellsprout,0.0039996
1,Oddish,Gloom,Exeggcute,2.054794521
1,Oddish,Gloom,Gastly,1.933806619
1,Oddish,Gloom,Grimer,1.947805219
1,Oddish,Gloom,Haunter,11.51184882
1,Oddish,Gloom,Ivysaur,8.509149085
1,Oddish,Gloom,Koffing,12.65973403
1,Oddish,Gloom,Nidorina,13.56164384
1,Oddish,Gloom,Nidorino,13.98160184
1,Oddish,Gloom,Parasect,11.32386761
1,Oddish,Gloom,Tentacool,1.325867413
1,Oddish,Gloom,Venomoth,0.0009999
1,Oddish,Gloom,Weepinbell,9.937006299
1,Omanyte,Omastar,Aerodactyl,9.949005099
1,Omanyte,Omastar,Blastoise,5.663433657
1,Omanyte,Omastar,Cloyster,1.371862814
1,Omanyte,Omastar,Dewgong,5.486451355
1,Omanyte,Omastar,Golduck,5.279472053
1,Omanyte,Omastar,Golem,10.1049895
1,Omanyte,Omastar,Graveler,0.539946005
1,Omanyte,Omastar,Gyarados,1.433856614
1,Omanyte,Omastar,Kabutops,4.95050495
1,Omanyte,Omastar,Kingler,5.616438356
1,Omanyte,Omastar,Lapras,5.638436156
1,Omanyte,Omastar,Poliwrath,3.833616638
1,Omanyte,Omastar,Rhydon,10.1349865
1,Omanyte,Omastar,Seadra,5.516448355
1,Omanyte,Omastar,Seaking,7.454254575
1,Omanyte,Omastar,Slowbro,4.319568043
1,Omanyte,Omastar,Starmie,3.329667033
1,Omanyte,Omastar,Tentacruel,3.262673733
1,Omanyte,Omastar,Vaporeon,6.114388561
1,Paras,Parasect,Beedrill,5.98140186
1,Paras,Parasect,Butterfree,12.68673133
1,Paras,Parasect,Exeggcute,6.02339766
1,Paras,Parasect,Gloom,15.73642636
1,Paras,Parasect,Ivysaur,14.67353265
1,Paras,Parasect,Tangela,9.742025797
1,Paras,Parasect,Venomoth,14.38556144
1,Paras,Parasect,Vileplume,3.898610139
1,Paras,Parasect,Weepinbell,16.87231277
1,Pidgeotto,Pidgeot,Aerodactyl,0.0279972
1,Pidgeotto,Pidgeot,Chansey,11.73582642
1,Pidgeotto,Pidgeot,Charizard,6.878312169
1,Pidgeotto,Pidgeot,Clefable,9.844015598
1,Pidgeotto,Pidgeot,Dodrio,10.53094691
1,Pidgeotto,Pidgeot,Fearow,9.061093891
1,Pidgeotto,Pidgeot,Golbat,5.491450855
1,Pidgeotto,Pidgeot,Kangaskhan,10.2929707
1,Pidgeotto,Pidgeot,Persian,8.614138586
1,Pidgeotto,Pidgeot,Raticate,0.0479952
1,Pidgeotto,Pidgeot,Scyther,13.23967603
1,Pidgeotto,Pidgeot,Snorlax,14.13658634
1,Pidgeotto,Pidgeot,Tauros,0.050994901
1,Pidgeotto,Pidgeot,Wigglytuff,0.0479952
1,Pidgey,Pidgeotto,Butterfree,15.74442556
1,Pidgey,Pidgeotto,Doduo,18.09419058
1,Pidgey,Pidgeotto,Eevee,18.06719328
1,Pidgey,Pidgeotto,Farfetch'd,18.14418558
1,Pidgey,Pidgeotto,Lickitung,15.01949805
1,Pidgey,Pidgeotto,Porygon,14.93050695
1,Pikachu,Raichu,Electabuzz,21.77482252
1,Pikachu,Raichu,Electrode,26.18038196
1,Pikachu,Raichu,Jolteon,26.06139386
1,Pikachu,Raichu,Magneton,25.98340166
1,Poliwag,Poliwhirl,Goldeen,0.354964504
1,Poliwag,Poliwhirl,Horsea,0.331966803
1,Poliwag,Poliwhirl,Kabuto,23.36166383
1,Poliwag,Poliwhirl,Krabby,23.53564644
1,Poliwag,Poliwhirl,Omanyte,23.52764724
1,Poliwag,Poliwhirl,Seadra,0.0429957
1,Poliwag,Poliwhirl,Seaking,0.073992601
1,Poliwag,Poliwhirl,Seel,0.348965103
1,Poliwag,Poliwhirl,Shellder,0.383961604
1,Poliwag,Poliwhirl,Slowbro,0.0239976
1,Poliwag,Poliwhirl,Slowpoke,0.406959304
1,Poliwag,Poliwhirl,Staryu,0.380961904
1,Poliwag,Poliwhirl,Tentacool,0.194980502
1,Poliwag,Poliwhirl,Wartortle,27.03129687
1,Poliwhirl,Poliwrath,Blastoise,7.458254175
1,Poliwhirl,Poliwrath,Cloyster,5.089491051
1,Poliwhirl,Poliwrath,Dewgong,7.201279872
1,Poliwhirl,Poliwrath,Golduck,7.193280672
1,Poliwhirl,Poliwrath,Gyarados,5.192480752
